日期,星期,最高温度,最低温度,天气,风向
2024-01-01, 星期一 ,12℃,9℃,小雨,西风 1级
2024-01-02, 星期二 ,13℃,10℃,阴~小雨,西南风 1级
2024-01-03, 星期三 ,12℃,9℃,晴~多云,东风 1级
2024-01-04, 星期四 ,14℃,9℃,阴~小雨,东北风 1级
2024-01-05, 星期五 ,13℃,9℃,多云,西南风 1级
2024-01-06, 星期六 ,15℃,9℃,多云~中雨,东北风 1级
2024-01-07, 星期日 ,11℃,9℃,阴,东北风 1级
2024-01-08, 星期一 ,13℃,11℃,阴~多云,东北风 1级
2024-01-09, 星期二 ,16℃,10℃,阴~多云,西南风 1级
2024-01-10, 星期三 ,14℃,10℃,阴,东北风 1级
2024-01-11, 星期四 ,16℃,10℃,阴~多云,西北风 微
2024-01-12, 星期五 ,18℃,11℃,多云,东北风 1级
2024-01-13, 星期六 ,17℃,12℃,阴~多云,东北风 1级
2024-01-14, 星期日 ,17℃,13℃,阴~小雨,西风 1级
2024-01-15, 星期一 ,14℃,12℃,阴~小雨,西风 1级
2024-01-16, 星期二 ,13℃,12℃,阴~小雨,东北风 1级
2024-01-17, 星期三 ,13℃,11℃,小雨,东北风 1级
2024-01-18, 星期四 ,14℃,11℃,阴~小雨,东北风 1级
2024-01-19, 星期五 ,12℃,10℃,阴~小雨,东北风 1级
2024-01-20, 星期六 ,12℃,10℃,阴~小雨,东北风 2级
2024-01-21, 星期日 ,10℃,5℃,小雨,东北风 2级
2024-01-22, 星期一 ,7℃,3℃,阴~多云,西南风 2级
2024-01-23, 星期二 ,6℃,5℃,阴,东北风 2级
2024-01-24, 星期三 ,6℃,3℃,小雨~阴,东北风 1级
2024-01-25, 星期四 ,8℃,3℃,阴,北风 1级
2024-01-26, 星期五 ,6℃,5℃,阴~小雨,西南风 1级
2024-01-27, 星期六 ,9℃,7℃,阴,西南风 1级
2024-01-28, 星期日 ,9℃,7℃,阴,东南风 1级
2024-01-29, 星期一 ,11℃,7℃,阴,东北风 1级
2024-01-30, 星期二 ,11℃,9℃,阴,北风 1级
2024-01-31, 星期三 ,10℃,9℃,阴,东北风 1级
2024-02-01, 星期四 ,12℃,9℃,阴~小雨,东南风 1级
2024-02-02, 星期五 ,13℃,10℃,阴~小雨,东北风 2级
2024-02-03, 星期六 ,9℃,7℃,阴~小雨,东北风 2级
2024-02-04, 星期日 ,9℃,7℃,阴,东北风 1级
2024-02-05, 星期一 ,10℃,8℃,阴,东北风 2级
2024-02-06, 星期二 ,10℃,7℃,阴~小雨,东北风 1级
2024-02-07, 星期三 ,9℃,6℃,小雨~阴,东北风 1级
2024-02-08, 星期四 ,8℃,7℃,小雨~阴,东北风 1级
2024-02-09, 星期五 ,13℃,5℃,多云,东南风 1级
2024-02-10, 星期六 ,16℃,5℃,多云~晴,东北风 1级
2024-02-11, 星期日 ,18℃,7℃,晴~多云,东北风 1级
2024-02-12, 星期一 ,19℃,9℃,阴~多云,西南风 1级
2024-02-13, 星期二 ,21℃,12℃,晴~多云,西南风 微
2024-02-14, 星期三 ,19℃,11℃,阴,西风 1级
2024-02-15, 星期四 ,12℃,9℃,小雨~阴,西风 2级
2024-02-16, 星期五 ,18℃,8℃,阴~多云,东北风 2级
2024-02-17, 星期六 ,21℃,9℃,晴,东北风 2级
2024-02-18, 星期日 ,23℃,12℃,晴~多云,东北风 1级
2024-02-19, 星期一 ,23℃,14℃,阴~多云,西南风 1级
2024-02-20, 星期二 ,21℃,13℃,阴,北风 2级
2024-02-21, 星期三 ,12℃,6℃,阴~小雨,北风 2级
2024-02-22, 星期四 ,7℃,6℃,小雨,东风 1级
2024-02-23, 星期五 ,7℃,6℃,阴,东北风 2级
2024-02-24, 星期六 ,7℃,6℃,阴~多云,北风 1级
2024-02-25, 星期日 ,8℃,7℃,阴,东北风 1级
2024-02-26, 星期一 ,10℃,8℃,阴,东风 1级
2024-02-27, 星期二 ,12℃,9℃,阴,东风 1级
2024-02-28, 星期三 ,12℃,8℃,阴,东北风 1级
2024-02-29, 星期四 ,12℃,9℃,阴~小雨,西北风 1级
2024-03-01, 星期五 ,9℃,8℃,阴,东南风 2级
2024-03-02, 星期六 ,15℃,8℃,多云,东南风 1级
2024-03-03, 星期日 ,17℃,11℃,阴~多云,东北风 2级
2024-03-04, 星期一 ,14℃,12℃,阴~多云,东北风 1级
2024-03-05, 星期二 ,15℃,12℃,阴~小雨,西北风 1级
2024-03-06, 星期三 ,13℃,12℃,阴~小雨,北风 微
2024-03-07, 星期四 ,14℃,11℃,阴~小雨,东北风 1级
2024-03-08, 星期五 ,15℃,12℃,阴,东北风 2级
2024-03-09, 星期六 ,15℃,12℃,阴,东南风 1级
2024-03-10, 星期日 ,15℃,10℃,阴~多云,东北风 1级
2024-03-11, 星期一 ,23℃,12℃,阴~多云,东风 1级
2024-03-12, 星期二 ,15℃,14℃,阴~小雨,东北风 1级
2024-03-13, 星期三 ,20℃,13℃,阴,西南风 1级
2024-03-14, 星期四 ,21℃,15℃,阴,东风 1级
2024-03-15, 星期五 ,21℃,16℃,阴~多云,东北风 2级
2024-03-16, 星期六 ,23℃,16℃,阴~小雨,东北风 1级
2024-03-17, 星期日 ,21℃,15℃,阴~小雨,西北风 1级
2024-03-18, 星期一 ,19℃,12℃,小雨~多云,西北风 2级
2024-03-19, 星期二 ,17℃,14℃,阴~多云,东南风 1级
2024-03-20, 星期三 ,20℃,15℃,阴~多云,东南风 微
2024-03-21, 星期四 ,24℃,15℃,阴~多云,南风 1级
2024-03-22, 星期五 ,26℃,15℃,阴~多云,东北风 1级
2024-03-23, 星期六 ,29℃,18℃,阴~多云,西南风 微
2024-03-24, 星期日 ,29℃,15℃,晴~小雨,西北风 2级
2024-03-25, 星期一 ,25℃,15℃,阴~多云,西北风 1级
2024-03-26, 星期二 ,21℃,17℃,阴~小雨,东北风 2级
2024-03-27, 星期三 ,23℃,15℃,阴~多云,东北风 2级
2024-03-28, 星期四 ,26℃,14℃,多云~晴,东风 1级
2024-03-29, 星期五 ,28℃,16℃,阴~晴,东风 1级
2024-03-30, 星期六 ,24℃,16℃,阴~多云,西北风 1级
2024-03-31, 星期日 ,28℃,19℃,多云~中雨,东北风 2级
2024-04-01, 星期一 ,28℃,20℃,阴~中雨,东北风 2级
2024-04-02, 星期二 ,24℃,19℃,小雨~阴,西北风 1级
2024-04-03, 星期三 ,25℃,18℃,雾~大雨,北风 1级
2024-04-04, 星期四 ,19℃,17℃,小雨,西北风 1级
2024-04-05, 星期五 ,21℃,16℃,阴~小雨,东北风 2级
2024-04-06, 星期六 ,19℃,17℃,阴~小雨,东北风 1级
2024-04-07, 星期日 ,17℃,16℃,小雨,西南风 1级
2024-04-08, 星期一 ,22℃,17℃,阴~小雨,南风 1级
2024-04-09, 星期二 ,22℃,18℃,小雨,东北风 2级
2024-04-10, 星期三 ,20℃,18℃,小雨,东北风 1级
2024-04-11, 星期四 ,24℃,18℃,雾~多云,东北风 1级
2024-04-12, 星期五 ,25℃,19℃,阴~中雨,东北风 2级
2024-04-13, 星期六 ,30℃,20℃,雾~多云,东北风 1级
2024-04-14, 星期日 ,31℃,22℃,阴~多云,南风 1级
2024-04-15, 星期一 ,34℃,20℃,多云~中雨,东风 1级
2024-04-16, 星期二 ,22℃,20℃,中雨~多云,西北风 1级
2024-04-17, 星期三 ,26℃,20℃,雾~小雨,东北风 1级
2024-04-18, 星期四 ,28℃,20℃,雾~中雨,东南风 2级
2024-04-19, 星期五 ,26℃,19℃,小雨~多云,西风 2级
2024-04-20, 星期六 ,22℃,19℃,中雨~小雨,西南风 1级
2024-04-21, 星期日 ,20℃,18℃,小雨,东南风 1级
2024-04-22, 星期一 ,21℃,17℃,小雨~阴,东南风 1级
2024-04-23, 星期二 ,25℃,19℃,小雨~中雨,东北风 1级
2024-04-24, 星期三 ,20℃,19℃,小雨,东北风 2级
2024-04-25, 星期四 ,22℃,18℃,多云~阴,东南风 1级
2024-04-26, 星期五 ,28℃,19℃,多云~小雨,东北风 1级
2024-04-27, 星期六 ,28℃,19℃,多云~晴,东南风 1级
2024-04-28, 星期日 ,32℃,20℃,晴~大雨,东北风 2级
2024-04-29, 星期一 ,25℃,17℃,阴,西风 2级
2024-04-30, 星期二 ,19℃,16℃,阴~小雨,西北风 2级
2024-05-01, 星期三 ,18℃,15℃,小雨,东北风 1级
2024-05-02, 星期四 ,20℃,17℃,雾~小雨,东北风 2级
2024-05-03, 星期五 ,21℃,17℃,阴~小雨,东北风 1级
2024-05-04, 星期六 ,21℃,16℃,小雨~多云,西南风 1级
2024-05-05, 星期日 ,27℃,18℃,雾~阴,东北风 1级
2024-05-06, 星期一 ,28℃,20℃,阴,东北风 1级
2024-05-07, 星期二 ,30℃,21℃,多云~阴,西南风 1级
2024-05-08, 星期三 ,27℃,21℃,多云~小雨,西南风 1级
2024-05-09, 星期四 ,26℃,21℃,多云~小雨,东北风 1级
2024-05-10, 星期五 ,26℃,20℃,阴~小雨,东北风 1级
2024-05-11, 星期六 ,22℃,19℃,小雨,西风 2级
2024-05-12, 星期日 ,22℃,17℃,小雨~多云,西南风 3级
2024-05-13, 星期一 ,29℃,17℃,雾~多云,东风 1级
2024-05-14, 星期二 ,31℃,20℃,多云~小雨,东北风 2级
2024-05-15, 星期三 ,31℃,20℃,阴~多云,东北风 1级
2024-05-16, 星期四 ,30℃,21℃,阴~多云,东南风 2级
2024-05-17, 星期五 ,32℃,22℃,阴~小雨,东北风 1级
2024-05-18, 星期六 ,25℃,21℃,中雨~小雨,北风 1级
2024-05-19, 星期日 ,28℃,21℃,雾~多云,西北风 2级
2024-05-20, 星期一 ,27℃,21℃,多云~小雨,东北风 2级
2024-05-21, 星期二 ,28℃,22℃,阴~多云,东北风 2级
2024-05-22, 星期三 ,32℃,21℃,多云~晴,东北风 1级
2024-05-23, 星期四 ,35℃,23℃,晴,东风 1级
2024-05-24, 星期五 ,37℃,24℃,晴,东风 2级
2024-05-25, 星期六 ,38℃,25℃,小雨~大雨,东南风 3级
2024-05-26, 星期日 ,30℃,24℃,阴~多云,西南风 2级
2024-05-27, 星期一 ,31℃,25℃,小雨~阴,东南风 1级
2024-05-28, 星期二 ,28℃,20℃,阴~中雨,东南风 1级
2024-05-29, 星期三 ,20℃,18℃,小雨,东北风 3级
2024-05-30, 星期四 ,25℃,19℃,小雨~多云,南风 1级
2024-05-31, 星期五 ,27℃,19℃,多云,东北风 1级
